,к1,к2,"Скорость звука, м/с",v1,v2
3,0.4,0.6,1501.5015015013887,1612.9032258063303,1503.5538545652232
4,0.5,0.5,1547.9876160989547,1612.9032258063303,1503.5538545652232
5,0.6,0.4,1663.6418632787618,1612.9032258063303,1503.5538545652232
6,0.7,0.3,1725.2195734001211,1612.9032258063303,1503.5538545652232
7,0.8,0.2,1718.2130584191148,1612.9032258063303,1503.5538545652232
8,0.9,0.1,1652.6442307691066,1612.9032258063303,1503.5538545652232
9,1.0,0.0,1612.9032258063303,1612.9032258063303,1612.9032258063303
10,0.1,0.9,2045.3700260318283,1612.9032258063303,2043.8498699366728
11,0.2,0.8,2038.5470719049617,1612.9032258063303,2043.8498699366728
12,0.3,0.7,2036.2828582005134,1612.9032258063303,2043.8498699366728
13,0.4,0.6,2042.3319717785319,1612.9032258063303,2043.8498699366728
14,0.5,0.5,2037.037037036884,1612.9032258063303,2043.8498699366728
16,0.7,0.3,2034.7761746206388,1612.9032258063303,2043.8498699366728
17,0.8,0.2,1936.6197183097136,1612.9032258063303,2043.8498699366728
18,0.9,0.1,1673.7674984782673,1612.9032258063303,2043.8498699366728
19,1.0,0.0,2043.8498699366728,2043.8498699366728,2043.8498699366728
20,0.1,0.9,2034.0236686389003,1503.5538545652232,2043.8498699366728
21,0.2,0.8,2041.573867854338,1503.5538545652232,2043.8498699366728
22,0.3,0.7,2034.0236686389003,1503.5538545652232,2043.8498699366728
23,0.4,0.6,2039.3029291804178,1503.5538545652232,2043.8498699366728
24,0.5,0.5,2023.5467255333283,1503.5538545652232,2043.8498699366728
25,0.6,0.4,2008.7655222788849,1503.5538545652232,2043.8498699366728
26,0.7,0.3,1983.411467724337,1503.5538545652232,2043.8498699366728
27,0.8,0.2,1883.5616438354748,1503.5538545652232,2043.8498699366728
